CosmeticCategory,ColorDescription,SKU,ProductDetails,ProductSize,ProductCategory,RetailPrice,,
,,,,,,,Subscription Price,ProductDescription
Almond,"Warm, medium with yellow tones",10130F,Loose Mineral Powder,7,Foundation,46,43.7,"Loose, micronized mineral powders have an exceptional silky texture. These powders form a protective barrier on the skin which promotes healing while allowing the skin to breathe. Key ingredients titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Beige,"Neutral, medium",10190F,Loose Mineral Powder,7,Foundation,46,43.7,"Loose, micronized mineral powders have an exceptional silky texture. These powders form a protective barrier on the skin which promotes healing while allowing the skin to breathe. Key ingredients titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Caramel,"Warm, rich brown",10210F,Loose Mineral Powder,7,Foundation,46,43.7,"Loose, micronized mineral powders have an exceptional silky texture. These powders form a protective barrier on the skin which promotes healing while allowing the skin to breathe. Key ingredients titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Clay,"Medium, warm yellow-red tones",10240F,Loose Mineral Powder,7,Foundation,46,43.7,"Loose, micronized mineral powders have an exceptional silky texture. These powders form a protective barrier on the skin which promotes healing while allowing the skin to breathe. Key ingredients titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Coffee,"Cool, dark red-brown tones",10260F,Loose Mineral Powder,7,Foundation,46,43.7,"Loose, micronized mineral powders have an exceptional silky texture. These powders form a protective barrier on the skin which promotes healing while allowing the skin to breathe. Key ingredients titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Cream,"Neutral, fair",10100F,Loose Mineral Powder,7,Foundation,46,43.7,"Loose, micronized mineral powders have an exceptional silky texture. These powders form a protective barrier on the skin which promotes healing while allowing the skin to breathe. Key ingredients titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Earth,"Warm, dark yellow-brown tones",10250F,Loose Mineral Powder,7,Foundation,46,43.7,"Loose, micronized mineral powders have an exceptional silky texture. These powders form a protective barrier on the skin which promotes healing while allowing the skin to breathe. Key ingredients titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Honey,"Warm, medium-tan with peach tones",10200F,Loose Mineral Powder,7,Foundation,46,43.7,"Loose, micronized mineral powders have an exceptional silky texture. These powders form a protective barrier on the skin which promotes healing while allowing the skin to breathe. Key ingredients titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Ivory,"Neutral, very fair",10230F,Loose Mineral Powder,7,Foundation,46,43.7,"Loose, micronized mineral powders have an exceptional silky texture. These powders form a protective barrier on the skin which promotes healing while allowing the skin to breathe. Key ingredients titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Natural Almond,"Warm, deep with yellow tones",10140F,Loose Mineral Powder,7,Foundation,46,43.7,"Loose, micronized mineral powders have an exceptional silky texture. These powders form a protective barrier on the skin which promotes healing while allowing the skin to breathe. Key ingredients titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Natural Porcelain,"Cool, medium with pink tones",10180F,Loose Mineral Powder,7,Foundation,46,43.7,"Loose, micronized mineral powders have an exceptional silky texture. These powders form a protective barrier on the skin which promotes healing while allowing the skin to breathe. Key ingredients titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Nude,Neutral,10110F,Loose Mineral Powder,7,Foundation,46,43.7,"Loose, micronized mineral powders have an exceptional silky texture. These powders form a protective barrier on the skin which promotes healing while allowing the skin to breathe. Key ingredients titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Pale,"Cool, very fair",10220F,Loose Mineral Powder,7,Foundation,46,43.7,"Loose, micronized mineral powders have an exceptional silky texture. These powders form a protective barrier on the skin which promotes healing while allowing the skin to breathe. Key ingredients titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Pale Almond,"Warm, fair with yellow",10120F,Loose Mineral Powder,7,Foundation,46,43.7,"Loose, micronized mineral powders have an exceptional silky texture. These powders form a protective barrier on the skin which promotes healing while allowing the skin to breathe. Key ingredients titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Pale Linen,"Neutral, medium with yellow-olive tones",10150F,Loose Mineral Powder,7,Foundation,46,43.7,"Loose, micronized mineral powders have an exceptional silky texture. These powders form a protective barrier on the skin which promotes healing while allowing the skin to breathe. Key ingredients titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Pale Porcelain,"Cool, very fair with pink tones",10160F,Loose Mineral Powder,7,Foundation,46,43.7,"Loose, micronized mineral powders have an exceptional silky texture. These powders form a protective barrier on the skin which promotes healing while allowing the skin to breathe. Key ingredients titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Porcelain,"Cool, fair with pink tones",10170F,Loose Mineral Powder,7,Foundation,46,43.7,"Loose, micronized mineral powders have an exceptional silky texture. These powders form a protective barrier on the skin which promotes healing while allowing the skin to breathe. Key ingredients titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Warm Honey,"Warm, light golden-tan",10300F,Loose Mineral Powder,7,Foundation,46,43.7,"Loose, micronized mineral powders have an exceptional silky texture. These powders form a protective barrier on the skin which promotes healing while allowing the skin to breathe. Key ingredients titanium dioxide and zinc oxide also provide non-irritating, natural sun protection."
Adobe,"Matte, warm peach-brown",40110BL,Loose Mineral Powder,4,Blush,22,20.9,"Our loose mineral blushes highlight the skin with a beautiful natural sheen and a healthy glow. These micronized minerals are talc-free, fragrance-free and dye-free."
Antique Rose,"Matte, cool rosy-plum",40180BL,Loose Mineral Powder,4,Blush,22,20.9,"Our loose mineral blushes highlight the skin with a beautiful natural sheen and a healthy glow. These micronized minerals are talc-free, fragrance-free and dye-free."
Barely Plum,"Cool, mauve-plum",40170BL,Loose Mineral Powder,4,Blush,22,20.9,"Our loose mineral blushes highlight the skin with a beautiful natural sheen and a healthy glow. These micronized minerals are talc-free, fragrance-free and dye-free."
Bella,"Cool, pale pink",40160BL,Loose Mineral Powder,4,Blush,22,20.9,"Our loose mineral blushes highlight the skin with a beautiful natural sheen and a healthy glow. These micronized minerals are talc-free, fragrance-free and dye-free."
Bloom,"Warm, bright-medium pink",40140BL,Loose Mineral Powder,4,Blush,22,20.9,"Our loose mineral blushes highlight the skin with a beautiful natural sheen and a healthy glow. These micronized minerals are talc-free, fragrance-free and dye-free."
Fresh Peach,"Warm, light coral-peach",40100BL,Loose Mineral Powder,4,Blush,22,20.9,"Our loose mineral blushes highlight the skin with a beautiful natural sheen and a healthy glow. These micronized minerals are talc-free, fragrance-free and dye-free."
Henna,"Matte, warm rosy-brown",40130BL,Loose Mineral Powder,4,Blush,22,20.9,"Our loose mineral blushes highlight the skin with a beautiful natural sheen and a healthy glow. These micronized minerals are talc-free, fragrance-free and dye-free."
Roses,"Cool, pink with lavender undertones",40200BL,Loose Mineral Powder,4,Blush,22,20.9,"Our loose mineral blushes highlight the skin with a beautiful natural sheen and a healthy glow. These micronized minerals are talc-free, fragrance-free and dye-free."
Rosewood,"Matte, cool brown-plum",40190BL,Loose Mineral Powder,4,Blush,22,20.9,"Our loose mineral blushes highlight the skin with a beautiful natural sheen and a healthy glow. These micronized minerals are talc-free, fragrance-free and dye-free."
Sienna,"Warm, peach-brown with gold flecks",40120BL,Loose Mineral Powder,4,Blush,22,20.9,"Our loose mineral blushes highlight the skin with a beautiful natural sheen and a healthy glow. These micronized minerals are talc-free, fragrance-free and dye-free."
